traj #,traj frame,x,y,z,intensity,area,frame1
1,0,69.0,63.0,25.0,632383.25,181.0,69.0
2,0,62.0,67.0,22.0,632079.5,181.0,62.0
3,0,63.0,61.0,10.0,631079.0,181.0,63.0
4,0,61.0,61.0,16.0,631049.1,181.0,61.0
5,0,60.0,69.0,17.0,630947.6,181.0,60.0
6,0,64.0,68.0,16.0,630604.4,181.0,64.0
7,0,66.0,60.0,18.0,630447.75,181.0,66.0
8,0,65.0,70.0,23.0,630281.25,181.0,65.0
9,0,65.0,69.0,19.0,630183.44,181.0,65.0
10,0,62.0,59.0,24.0,630144.0,181.0,62.0
11,0,66.0,65.0,12.0,629864.9,181.0,66.0
12,0,60.0,60.0,19.0,629726.56,181.0,60.0
13,0,61.0,65.0,25.0,629679.6,181.0,61.0
14,0,71.0,56.0,23.0,629678.5,181.0,71.0
15,0,71.0,64.0,19.0,629650.7,181.0,71.0
16,0,61.0,70.0,24.0,629645.56,181.0,61.0
17,0,68.0,57.0,20.0,629372.4,181.0,68.0
18,0,66.0,64.0,19.0,629334.1,181.0,66.0
19,0,59.0,67.0,20.0,629296.44,181.0,59.0
20,0,67.0,68.0,10.0,629287.9,181.0,67.0
21,0,64.0,66.0,8.0,629279.0,181.0,64.0
22,0,62.0,75.0,19.0,629072.4,181.0,62.0
23,0,64.0,59.0,21.0,628968.0,181.0,64.0
24,0,72.0,64.0,29.0,628917.44,181.0,72.0
25,0,65.0,61.0,27.0,628869.44,181.0,65.0
26,0,68.0,68.0,15.0,628862.1,181.0,68.0
27,0,65.0,69.0,29.0,628849.06,181.0,65.0
28,0,70.0,57.0,13.0,628809.44,181.0,70.0
29,0,63.0,55.0,18.0,628759.2,181.0,63.0
30,0,63.0,72.0,27.0,628734.2,181.0,63.0
31,0,55.0,62.0,20.0,628726.7,181.0,55.0
32,0,58.0,64.0,18.0,628718.94,181.0,58.0
33,0,63.0,57.0,28.0,628715.56,181.0,63.0
34,0,61.0,54.0,11.0,628694.6,181.0,61.0
35,0,69.0,67.0,26.0,628662.75,181.0,69.0
36,0,61.0,63.0,22.0,628603.7,181.0,61.0
37,0,53.0,58.0,19.0,628597.06,181.0,53.0
38,0,62.0,71.0,14.0,628582.4,181.0,62.0
39,0,63.0,64.0,14.0,628545.8,181.0,63.0
40,0,54.0,64.0,28.0,628511.06,181.0,54.0
41,0,71.0,64.0,22.0,628466.3,181.0,71.0
42,0,71.0,60.0,27.0,628421.94,181.0,71.0
43,0,66.0,73.0,20.0,628290.0,181.0,66.0
44,0,75.0,64.0,15.0,628204.4,181.0,75.0
45,0,69.0,68.0,19.0,628197.9,181.0,69.0
46,0,61.0,58.0,14.0,628148.44,181.0,61.0
47,0,56.0,69.0,23.0,628098.94,181.0,56.0
48,0,74.0,68.0,23.0,628069.75,181.0,74.0
49,0,70.0,62.0,14.0,627974.06,181.0,70.0
